country,iso3c,region,Urban population (% of total population),Rural population (% of total population),Proportion of people living below 50 percent of median income (%),"Population, total",Population ages 65 and above (% of total population),Population density (people per sq. km of land area),"Physicians (per 1,000 people)","Life expectancy at birth, total (years)","GDP per capita, PPP (current international $)"
Afghanistan,AFG,South Asia,26.616,73.384,NA,41128771,2.3943397190254,61.4805544056544,0.2538,61.982,1673.96405892148
Albania,ALB,Europe & Central Asia,63.799,36.201,9.6,2775634,16.6551913031639,102.615547445255,1.8754,76.463,18551.716479374
Algeria,DZA,Middle East & North Africa,74.772,25.228,6.3,44903225,6.38778617794156,18.5486033116111,1.7193,76.377,13209.5967685963
American Samoa,ASM,East Asia & Pacific,87.196,12.804,NA,44273,7.26297362922808,225.175,0.781,NA,NA
Andorra,AND,Europe & Central Asia,87.811,12.189,NA,79824,14.9679294447785,168.157446808511,3.3333,NA,NA
Angola,AGO,Sub-Saharan Africa,68.081,31.919,22.8,35588987,2.6000557419631,27.6760840619235,0.214,61.643,6973.69629889611
Antigua and Barbuda,ATG,Latin America & Caribbean,24.346,75.654,NA,93763,10.6182609344838,211.861363636364,2.7673,78.497,25336.6425986007
Argentina,ARG,Latin America & Caribbean,92.347,7.65300000000001,18.8,46234830,11.9183280591447,16.7387416916056,4.0596,75.39,26504.5905619696
Armenia,ARM,Europe & Central Asia,63.573,36.427,6.3,2780469,13.1482854151584,98.0321039690903,2.9143,72.043,18941.5268080528
Aruba,ABW,Latin America & Caribbean,44.052,55.948,NA,106445,16.1421391328855,591.872222222222,1.12,74.626,42887.3749125576
Australia,AUS,East Asia & Pacific,86.488,13.512,11.7,25978935,16.9020843102012,3.33957517011136,4.1292,83.3,62625.357642365
Austria,AUT,Europe & Central Asia,59.256,40.744,11,9042528,19.8070286456344,108.528805138148,5.2933,81.2390243902439,67935.8479736373
Azerbaijan,AZE,Europe & Central Asia,57.17,42.83,0.9,10175016,7.10765341124228,122.65880217785801,3.1678,69.366,17764.4455885439
"Bahamas, The",BHS,Latin America & Caribbean,83.492,16.508,NA,409984,8.89120063221979,40.7498501498501,1.9387,71.598,40378.5517454402
Bahrain,BHR,Middle East & North Africa,89.743,10.257,NA,1472233,3.75558760060398,1852.23417721519,0.9257,78.76,61227.8972211496
Bangladesh,BGD,South Asia,39.711,60.289,7.3,171186372,6.0444183429379,1301.03903357148,0.6672,72.381,7395.09598677725
Barbados,BRB,Latin America & Caribbean,31.324,68.676,NA,281635,16.2763861025796,653.953488372093,2.4878,77.571,17837.4532247473
Belarus,BLR,Europe & Central Asia,80.326,19.674,3.9,9208701,17.1844291443656,45.8368317319537,4.5382,72.3706829268293,22590.5909223364
Belgium,BEL,Europe & Central Asia,98.153,1.84699999999999,7.9,11669446,19.7290949756905,382.858388375165,3.1495,81.890243902439,65027.2948954044
Belize,BLZ,Latin America & Caribbean,46.396,53.604,20.5,405272,5.08682429723211,17.537527400263,1.078,70.47,11450.9168995378
Benin,BEN,Sub-Saharan Africa,49.534,50.466,11,13352864,3.06457850540528,115.261573252927,0.0647,59.821,4056.10834076599
Bermuda,BMU,North America,100,0,NA,63532,20.408513025053,1180.81481481481,1.766,79.28,95837.0324194888
Bhutan,BTN,South Asia,43.686,56.314,8.8,782455,6.25384207398509,20.3850550603041,0.499,71.815,12036.3640775011
Bolivia,BOL,Latin America & Caribbean,70.83,29.17,17.4,12224110,4.84987455119432,11.1506249423059,1.0299,63.63,9683.61749663174
Bosnia and Herzegovina,BIH,Europe & Central Asia,49.841,50.159,11.8,3233526,18.3998028159039,63.88560546875,2.1616,75.3,20376.8921942473
Botswana,BWA,Sub-Saharan Africa,72.224,27.776,19.7,2630296,3.6540374163212,4.5672948317541,0.3784,61.141,18323.0457028393
Brazil,BRA,Latin America & Caribbean,87.555,12.445,22.2,215313498,9.87670916943628,25.6428132335663,2.3106,72.75,17821.7372609877
British Virgin Islands,VGB,Latin America & Caribbean,49.331,50.669,NA,31305,9.93786835758437,207.48,NA,74.494,NA
Brunei Darussalam,BRN,East Asia & Pacific,78.854,21.146,NA,449002,6.17102615470104,84.5110056925996,1.609,74.642,69274.9841410867
